d,n_rounds,lambda_idle,lambda_mr_idle,lambda_czz,dem_method,use_czz,basis,noise_model,independent_channels,error_rates,lattice_style,cz_direction,decoder,decoder_params,p,n_shots,n_fails,uuid
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.001,10000000,326,data_20250516_184302_7bd8b196.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.002,5000000,2036,data_20250516_184302_7bd8b196.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.003,2300000,4744,data_20250516_184302_7bd8b196.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.004,1300000,8312,data_20250516_184302_7bd8b196.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.005,800000,12622,data_20250516_184302_7bd8b196.csv
9,9,0.0,0.0,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,rotated,21,pymatching,{},0.006,600000,19736,data_20250516_184302_7bd8b196.csv
9,9,0.1,0.1,1.6,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.0001,1000000,1,data_20250604_164353_d367400b.csv
9,9,0.1,0.1,1.6,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00018,1000000,0,data_20250604_164353_d367400b.csv
9,9,0.1,0.1,1.6,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00031,1000000,7,data_20250604_164353_d367400b.csv
9,9,0.1,0.1,1.6,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00054,1000000,38,data_20250604_164353_d367400b.csv
9,9,0.1,0.1,1.6,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,rotated,24,pymatching,{},0.00095,1000000,236,data_20250604_164353_d367400b.csv
