d,n_rounds,lambda_idle,lambda_mr_idle,lambda_czz,dem_method,use_czz,basis,noise_model,independent_channels,error_rates,lattice_style,cz_direction,decoder,decoder_params,p,n_shots,n_fails,uuid
19,19,0.0,0.0,2.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00514,100000,1696,data_20250917_133717_5d96d9b9.csv
19,19,0.0,0.0,1.75,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00514,100000,637,data_20250917_133304_14baf361.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.001,1000000,0,data_20250920_180058_a1bd6ec2.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.002,1000000,0,data_20250920_180058_a1bd6ec2.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.003,1000000,2,data_20250920_180058_a1bd6ec2.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.004,1000000,75,data_20250920_180058_a1bd6ec2.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.005,1000000,1486,data_20250920_180058_a1bd6ec2.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.006,840000,11890,data_20250920_180058_a1bd6ec2.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,z,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.007,360000,26804,data_20250920_180058_a1bd6ec2.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.001,1000000,0,data_20250920_180139_e65111ed.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.002,1000000,0,data_20250920_180139_e65111ed.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.003,1000000,0,data_20250920_180139_e65111ed.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.004,1000000,55,data_20250920_180139_e65111ed.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.005,1000000,1221,data_20250920_180139_e65111ed.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.006,920000,10931,data_20250920_180139_e65111ed.csv
19,19,0.1,0.1,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_lin,unrotated,24,pymatching,{},0.007,380000,24790,data_20250920_180139_e65111ed.csv
19,19,0.0,0.0,1.0,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00514,100000,3,data_20250917_133347_32b32973.csv
