d,n_rounds,lambda_idle,lambda_mr_idle,lambda_czz,dem_method,use_czz,basis,noise_model,independent_channels,error_rates,lattice_style,cz_direction,decoder,decoder_params,p,n_shots,n_fails,uuid
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.0001,10000,0,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00018,10000,0,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00031,10000,0,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00054,10000,0,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00095,10000,0,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00167,10000,0,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00293,10000,16,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00514,10000,250,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00903,10000,1958,data_20250916_122847_30b0a33b.csv
7,7,1.0,1.0,1.5,corr_decomp_appdis,True,x,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.01585,10000,4642,data_20250916_122847_30b0a33b.csv
7,7,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,25,pymatching,{},0.0001,1000000,0,data_20250515_141911_0714675b.csv
7,7,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,25,pymatching,{},0.00018,1000000,0,data_20250515_141911_0714675b.csv
7,7,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,25,pymatching,{},0.00031,1000000,0,data_20250515_141911_0714675b.csv
7,7,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,25,pymatching,{},0.00054,1000000,0,data_20250515_141911_0714675b.csv
7,7,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,25,pymatching,{},0.00095,1000000,6,data_20250515_141911_0714675b.csv
7,7,0.1,0.1,1.0,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,25,pymatching,{},0.00167,1000000,74,data_20250515_141911_0714675b.csv
7,7,0.1,0.1,1.7,corr_decomp_appdis,True,z,SI1000,False,sweep_logarithmic,unrotated,24,pymatching,{},0.00054,10000000,20,data_20250604_174816_6a8531b4.csv
